"ndc","type","detail","Created_date"
"2620","onkz","Neuhäusel Westerw","2018-03-08T12:14:34.847Z"
"2621","onkz","Lahnstein","2018-03-08T12:14:34.847Z"
"2622","onkz","Bendorf Rhein","2018-03-08T12:14:34.847Z"
"2623","onkz","Ransbach-Baumbach","2018-03-08T12:14:34.847Z"
"2624","onkz","Höhr-Grenzhausen","2018-03-08T12:14:34.847Z"
"2625","onkz","Ochtendung","2018-03-08T12:14:34.847Z"
"2626","onkz","Selters Westferwald","2018-03-08T12:14:34.847Z"
"2627","onkz","Braubach","2018-03-08T12:14:34.847Z"
"2628","onkz","Rhens","2018-03-08T12:14:34.847Z"
"2630","onkz","Mülheim-Kärlich","2018-03-08T12:14:34.847Z"
"2631","onkz","Neuwied","2018-03-08T12:14:34.847Z"
"2632","onkz","Andernach","2018-03-08T12:14:34.847Z"
"2633","onkz","Brohl-Lützing","2018-03-08T12:14:34.847Z"
"2634","onkz","Rengsdorf","2018-03-08T12:14:34.847Z"
"2635","onkz","Rheinbrohl","2018-03-08T12:14:34.847Z"
"2636","onkz","Burgbrohl","2018-03-08T12:14:34.847Z"
"2637","onkz","Weissenthurm","2018-03-08T12:14:34.847Z"
"2638","onkz","Waldbreitbach","2018-03-08T12:14:34.847Z"
"2639","onkz","Anhausen Kr Neuwied","2018-03-08T12:14:34.847Z"
"2641","onkz","Bad Neuenahr-Ahrweiler","2018-03-08T12:14:34.847Z"
"2642","onkz","Remagen","2018-03-08T12:14:34.847Z"
"2643","onkz","Altenahr","2018-03-08T12:14:34.847Z"
"2644","onkz","Linz am Rhein","2018-03-08T12:14:34.847Z"
"2645","onkz","Vettelschoss","2018-03-08T12:14:34.847Z"
"2646","onkz","Königsfeld Eifel","2018-03-08T12:14:34.847Z"
"2647","onkz","Kesseling","2018-03-08T12:14:34.847Z"
"2651","onkz","Mayen","2018-03-08T12:14:34.847Z"
"2652","onkz","Mendig","2018-03-08T12:14:34.847Z"
"2653","onkz","Kaisersesch","2018-03-08T12:14:34.847Z"
"2654","onkz","Polch","2018-03-08T12:14:34.847Z"
"2655","onkz","Weibern","2018-03-08T12:14:34.847Z"
"2656","onkz","Virneburg","2018-03-08T12:14:34.847Z"
"2657","onkz","Uersfeld","2018-03-08T12:14:34.847Z"
"2661","onkz","Bad Marienberg Westerwald","2018-03-08T12:14:34.847Z"
"2662","onkz","Hachenburg","2018-03-08T12:14:34.847Z"
"2663","onkz","Westerburg Westerw","2018-03-08T12:14:34.847Z"
"2664","onkz","Rennerod","2018-03-08T12:14:34.847Z"
"2666","onkz","Freilingen Westerw","2018-03-08T12:14:34.847Z"
"2667","onkz","Stein-Neukirch","2018-03-08T12:14:34.847Z"
